国家,队伍名,排名
USA,The Twins,第二名
Japan,ColorFul ,第三名
Japan,Fluffy Panda Gang,第四名
China,IDOL PRODUCER,第一名
MALAYSIA/JAPAN,Starbreaker MJ,前八名
Korea,JOKER,前八名
China,果汁雨,前八名
China,东风,前八名
TURKEY,Turkish Delights,前十六名
Korea,BUTTERFLY,前十六名
Korea,Bang,前十六名
China,F426,前十六名
China,冷风&曲奇,前十六名
China,元気元気,前十六名
China,SZGS-南明炽羽,前十六名
Australia,Skill Issue,前十六名
Wales,Dragons,小组淘汰
Wales,Cymru,小组淘汰
Wales,Wales,小组淘汰
USA,IDC,小组淘汰
TURKEY,Zınq,小组淘汰
TURKEY,Furrycon,小组淘汰
Spain,Aulas del Futuro,小组淘汰
Spain,Ráfaga roja,小组淘汰
Scotland,Scotland,小组淘汰
NEW ZEALAND,NZ E Blacks 1,小组淘汰
NEW ZEALAND,NZ E Blacks 2,小组淘汰
NEW ZEALAND,NZ E Blacks 3,小组淘汰
MALAYSIA,Team Mas,小组淘汰
Korea,CLUTCH,小组淘汰
Korea,TOP,小组淘汰
Korea,NOVA,小组淘汰
Japan,MUSE'n Curry,小组淘汰
Japan,NISTA,小组淘汰
Japan,Hello Kenty,小组淘汰
Japan,ICHISTA,小组淘汰
Japan,FireCrackers,小组淘汰
Japan,オンドリュー橘戦国,小组淘汰
Japan,SANSTA,小组淘汰
Greece,ATROTOS,小组淘汰
Greece,MANDOULIDES SCHOOLS,小组淘汰
Greece,HELL ZEROLAG ,小组淘汰
England,England,小组淘汰
England,Lions,小组淘汰
CYPRUS,FUN ARENA,小组淘汰
"Taiwan, China",Strike,小组淘汰
China,BGE,小组淘汰
China,溪屹Alliance,小组淘汰
China,SZGZ-休月zero,小组淘汰
China,SZWZ-星轨战队,小组淘汰
China,SZGZ-雨雀,小组淘汰
China,超级恐龙,小组淘汰
China,SZWZ-星辰守望者,小组淘汰
China,Cinema,小组淘汰
China,ZzYy,小组淘汰
China,CZHero ,小组淘汰
China,兰星少年队,小组淘汰
China,SZWZ-旋风队,小组淘汰
Australia,Phoenix,小组淘汰
China,铁血风暴队,小组淘汰
China,肉夹馍战团,小组淘汰
China,SUPER,小组淘汰
China,从容应队,小组淘汰
